instance,best_vehicles,best_distance,avg_time_s,num_runs,alpha,beta,rho,q0
c101C5.txt,1,309.2298026824592,4.422247886657715,3,3,1,0.2,0.9
c101C5.txt,1,309.2298026824592,7.461059808731079,3,3,1,0.5,0.5
c101C5.txt,1,309.2298026824592,5.916709502538045,3,3,1,0.5,0.7
c101C5.txt,1,309.2298026824592,4.377585411071777,3,3,1,0.5,0.9
c101C5.txt,1,309.2298026824592,7.332862536112468,3,3,2,0.1,0.5
c101C5.txt,1,309.2298026824592,5.826027234395345,3,3,2,0.1,0.7
c101C5.txt,1,309.2298026824592,4.386716763178508,3,3,2,0.1,0.9
c101C5.txt,1,309.2298026824592,7.399933894475301,3,3,2,0.2,0.5
c101C5.txt,1,309.2298026824592,5.896716833114624,3,3,2,0.2,0.7
c101C5.txt,1,309.2298026824592,4.4539923667907715,3,3,2,0.2,0.9
c101C5.txt,1,309.2298026824592,7.447320063908895,3,3,2,0.5,0.5
c101C5.txt,1,309.2298026824592,6.081904967625936,3,3,2,0.5,0.7
c101C5.txt,1,309.2298026824592,4.500070810317993,3,3,2,0.5,0.9
c101C5.txt,1,309.2298026824592,7.45326288541158,3,3,3,0.1,0.5
c101C5.txt,1,309.2298026824592,6.031650940577189,3,3,3,0.1,0.7
c101C5.txt,1,309.2298026824592,4.511698643366496,3,3,3,0.1,0.9
c101C5.txt,1,309.2298026824592,7.401676416397095,3,3,3,0.2,0.5
c101C5.txt,1,309.2298026824592,6.044784625371297,3,3,3,0.2,0.7
c101C5.txt,1,309.2298026824592,4.507590452829997,3,3,3,0.2,0.9
c101C5.txt,1,309.2298026824592,7.669109503428142,3,3,3,0.5,0.5
c101C5.txt,1,309.2298026824592,6.114442189534505,3,3,3,0.5,0.7
c101C5.txt,1,309.2298026824592,4.492274840672811,3,3,3,0.5,0.9
c101C5.txt,1,309.2298026824592,7.583986520767212,3,3,4,0.1,0.5
c101C5.txt,1,309.2298026824592,6.057048161824544,3,3,4,0.1,0.7
c101C5.txt,1,309.2298026824592,4.505551815032959,3,3,4,0.1,0.9
c101C5.txt,1,309.2298026824592,7.606888612111409,3,3,4,0.2,0.5
c101C5.txt,1,309.2298026824592,6.073008139928182,3,3,4,0.2,0.7
c101C5.txt,1,309.2298026824592,4.550682067871094,3,3,4,0.2,0.9
c101C5.txt,1,309.2298026824592,7.305858294169108,3,3,4,0.5,0.5
c101C5.txt,1,309.2298026824592,5.993391831715901,3,3,4,0.5,0.7
c101C5.txt,1,309.2298026824592,4.47989281018575,3,3,4,0.5,0.9
c101C5.txt,1,309.2298026824592,7.589989980061849,3,4,1,0.1,0.5
c101C5.txt,1,309.2298026824592,5.933457533518474,3,4,1,0.1,0.7
c101C5.txt,1,309.2298026824592,4.469911416371663,3,4,1,0.1,0.9
c101C5.txt,1,309.2298026824592,7.553223450978597,3,4,1,0.2,0.5
c101C5.txt,1,309.2298026824592,5.851118008295695,3,4,1,0.2,0.7
c101C5.txt,1,309.2298026824592,4.315659681955974,3,4,1,0.2,0.9
c101C5.txt,1,309.2298026824592,7.189874887466431,3,4,1,0.5,0.5
c101C5.txt,1,309.2298026824592,5.753339608510335,3,4,1,0.5,0.7
c101C5.txt,1,309.2298026824592,4.396728277206421,3,4,1,0.5,0.9
c101C5.txt,1,309.2298026824592,7.516569058100383,3,4,2,0.1,0.5
c101C5.txt,1,309.2298026824592,5.946613550186157,3,4,2,0.1,0.7
c101C5.txt,1,309.2298026824592,4.438030004501343,3,4,2,0.1,0.9
c101C5.txt,1,309.2298026824592,7.558567365010579,3,4,2,0.2,0.5
c101C5.txt,1,309.2298026824592,5.970569610595703,3,4,2,0.2,0.7
c101C5.txt,1,309.2298026824592,4.424282550811768,3,4,2,0.2,0.9
c101C5.txt,1,309.2298026824592,7.5718404452006025,3,4,2,0.5,0.5
c101C5.txt,1,309.2298026824592,6.090015014012654,3,4,2,0.5,0.7
c101C5.txt,1,309.2298026824592,4.423287709554036,3,4,2,0.5,0.9
c101C5.txt,1,309.2298026824592,7.28649107615153,3,4,3,0.1,0.5
c101C5.txt,1,309.2298026824592,5.792556285858154,3,4,3,0.1,0.7
c101C5.txt,1,309.2298026824592,4.3474767208099365,3,4,3,0.1,0.9
c101C5.txt,1,309.2298026824592,7.190013885498047,3,4,3,0.2,0.5
c101C5.txt,1,309.2298026824592,5.793254931767781,3,4,3,0.2,0.7
c101C5.txt,1,309.2298026824592,4.346693754196167,3,4,3,0.2,0.9
c101C5.txt,1,309.2298026824592,7.179920117060344,3,4,3,0.5,0.5
c101C5.txt,1,309.2298026824592,5.784793059031169,3,4,3,0.5,0.7
c101C5.txt,1,309.2298026824592,4.341938336690267,3,4,3,0.5,0.9
c101C5.txt,1,309.2298026824592,7.186677694320679,3,4,4,0.1,0.5
c101C5.txt,1,309.2298026824592,5.793334007263184,3,4,4,0.1,0.7
c101C5.txt,1,309.2298026824592,4.31442666053772,3,4,4,0.1,0.9
c101C5.txt,1,309.2298026824592,7.122517824172974,3,4,4,0.2,0.5
c101C5.txt,1,309.2298026824592,5.763108253479004,3,4,4,0.2,0.7
c101C5.txt,1,309.2298026824592,4.356534322102864,3,4,4,0.2,0.9
c101C5.txt,1,309.2298026824592,7.53318206469218,3,4,4,0.5,0.5
c101C5.txt,1,309.2298026824592,6.052715460459392,3,4,4,0.5,0.7
c101C5.txt,1,309.2298026824592,4.337360143661499,3,4,4,0.5,0.9
